i,j,station_i,station_j,name_i,name_j,dist_km
0,29,06225,06370,IJMUIDEN WP,EINDHOVEN AP,125.8847389923704
4,13,06267,06283,STAVOREN AWS,HUPSEL AWS,126.2155330174695
19,29,06312,06370,OOSTERSCHELDE WP,EINDHOVEN AP,126.22504510528881
10,14,06278,06285,HEINO AWS,HUIBERTGAT WP,127.04958709775208
2,18,06240,06310,AMSTERDAM/SCHIPHOL AP,VLISSINGEN AWS,127.27575895428843
16,28,06290,06356,TWENTHE AWS,HERWIJNEN AWS,127.93996094855773
7,25,06273,06344,MARKNESSE AWS,ROTTERDAM THE HAGUE AP,127.96812301177461
8,31,06275,06380,DEELEN,MAASTRICHT AACHEN AP,128.03563041781644
8,12,06275,06280,DEELEN,GRONINGEN AP EELDE,128.2307477850071
22,29,06320,06370,LICHTEILAND GOEREE,EINDHOVEN AP,129.0218978755548
1,14,06235,06285,DE KOOY VK,HUIBERTGAT WP,129.42449496781157
13,15,06283,06286,HUPSEL AWS,NIEUW BEERTA AWS,129.60609703745277
2,11,06240,06279,AMSTERDAM/SCHIPHOL AP,HOOGEVEEN AWS,129.82557644977337
6,8,06270,06275,LEEUWARDEN,DEELEN,130.17446653304057
2,13,06240,06283,AMSTERDAM/SCHIPHOL AP,HUPSEL AWS,130.2442499723368
6,16,06270,06290,LEEUWARDEN,TWENTHE AWS,130.52337568321664
3,6,06260,06270,DE BILT AWS,LEEUWARDEN,130.82162080060164
13,27,06283,06350,HUPSEL AWS,GILZE RIJEN,130.866201645872
25,32,06344,06391,ROTTERDAM THE HAGUE AP,ARCEN AWS,131.02422221321177
0,18,06225,06310,IJMUIDEN WP,VLISSINGEN AWS,131.16611692455245
3,18,06260,06310,DE BILT AWS,VLISSINGEN AWS,131.2333736701994
26,31,06348,06380,CABAUW TOWER AWS,MAASTRICHT AACHEN AP,131.7314882143767
4,23,06267,06330,STAVOREN AWS,HOEK VAN HOLLAND AWS,132.10106010063666
10,27,06278,06350,HEINO AWS,GILZE RIJEN,132.495669150535
2,32,06240,06391,AMSTERDAM/SCHIPHOL AP,ARCEN AWS,132.74360323173045
17,28,06308,06356,CADZAND WP,HERWIJNEN AWS,132.99886247109808
3,21,06260,06319,DE BILT AWS,WESTDORPE AWS,133.11599251677958
4,24,06267,06343,STAVOREN AWS,ROTTERDAM GEULHAVEN,133.27262233063715
10,25,06278,06344,HEINO AWS,ROTTERDAM THE HAGUE AP,134.2619571437981
1,22,06235,06320,DE KOOY VK,LICHTEILAND GOEREE,134.4111044715369
11,30,06279,06375,HOOGEVEEN AWS,VOLKEL,134.84609025748634
9,16,06277,06290,LAUWERSOOG AWS,TWENTHE AWS,134.8569290015438
7,32,06273,06391,MARKNESSE AWS,ARCEN AWS,135.60471706008897
21,30,06319,06375,WESTDORPE AWS,VOLKEL,136.70868547040334
24,32,06343,06391,ROTTERDAM GEULHAVEN,ARCEN AWS,137.03949351670764
2,21,06240,06319,AMSTERDAM/SCHIPHOL AP,WESTDORPE AWS,137.25662851249
21,31,06319,06380,WESTDORPE AWS,MAASTRICHT AACHEN AP,137.48819982591993
5,15,06269,06286,LELYSTAD AP,NIEUW BEERTA AWS,137.991508187747
5,22,06269,06320,LELYSTAD AP,LICHTEILAND GOEREE,138.11565274564563
16,26,06290,06348,TWENTHE AWS,CABAUW TOWER AWS,138.3422024708094
16,29,06290,06370,TWENTHE AWS,EINDHOVEN AP,138.52459652314855
5,14,06269,06285,LELYSTAD AP,HUIBERTGAT WP,138.6054091035265
3,31,06260,06380,DE BILT AWS,MAASTRICHT AACHEN AP,138.70421703680609
11,28,06279,06356,HOOGEVEEN AWS,HERWIJNEN AWS,138.7132275667792
17,29,06308,06370,CADZAND WP,EINDHOVEN AP,138.75241457327175
20,30,06316,06375,OOSTERSCHELDE 4,VOLKEL,138.84201203304872
4,30,06267,06375,STAVOREN AWS,VOLKEL,139.41725837647377
7,24,06273,06343,MARKNESSE AWS,ROTTERDAM GEULHAVEN,139.93661161276725
0,11,06225,06279,IJMUIDEN WP,HOOGEVEEN AWS,139.9534957559015
11,26,06279,06348,HOOGEVEEN AWS,CABAUW TOWER AWS,141.52297300250902
11,32,06279,06391,HOOGEVEEN AWS,ARCEN AWS,141.54205603484547
7,27,06273,06350,MARKNESSE AWS,GILZE RIJEN,142.14241427396925
6,13,06270,06283,LEEUWARDEN,HUPSEL AWS,142.23268816751843
2,17,06240,06308,AMSTERDAM/SCHIPHOL AP,CADZAND WP,142.28744671144582
2,16,06240,06290,AMSTERDAM/SCHIPHOL AP,TWENTHE AWS,142.9670114231804
22,30,06320,06375,LICHTEILAND GOEREE,VOLKEL,143.18697981764174
13,31,06283,06380,HUPSEL AWS,MAASTRICHT AACHEN AP,143.3425998359784
7,29,06273,06370,MARKNESSE AWS,EINDHOVEN AP,143.5436215953086
7,23,06273,06330,MARKNESSE AWS,HOEK VAN HOLLAND AWS,143.63903604675033
19,30,06312,06375,OOSTERSCHELDE WP,VOLKEL,144.14751407021674
0,17,06225,06308,IJMUIDEN WP,CADZAND WP,144.84946002981337
0,21,06225,06319,IJMUIDEN WP,WESTDORPE AWS,145.62508748242365
10,24,06278,06343,HEINO AWS,ROTTERDAM GEULHAVEN,145.81726870570708
3,17,06260,06308,DE BILT AWS,CADZAND WP,147.50638782698056
18,30,06310,06375,VLISSINGEN AWS,VOLKEL,147.9365267123511
3,12,06260,06280,DE BILT AWS,GRONINGEN AP EELDE,148.25780198990253
14,16,06285,06290,HUIBERTGAT WP,TWENTHE AWS,148.36179916296442
25,31,06344,06380,ROTTERDAM THE HAGUE AP,MAASTRICHT AACHEN AP,148.58678178523115
24,31,06343,06380,ROTTERDAM GEULHAVEN,MAASTRICHT AACHEN AP,148.8086704922088
5,19,06269,06312,LELYSTAD AP,OOSTERSCHELDE WP,149.46314545490108
